id_match,home_team,away_team,home_team_code,away_team_code,home_score,away_score,home_penalty,away_penalty,home_score_total,away_score_total,winner,winner_reason,year,date,date_time,utc_offset_hours,group_name,matchday_name,condition_humidity,condition_pitch,condition_temperature,condition_weather,condition_wind_speed,status,type,round,round_mode,match_attendance,stadium_id,stadium_country_code,stadium_capacity,stadium_latitude,stadium_longitude,stadium_pitch_length,stadium_pitch_width,goals,penalties_missed,penalties,red_cards,game_referees,stadium_city,stadium_name,stadium_name_media,stadium_name_official,stadium_name_event,stadium_name_sponsor
2036184,Georgia,Czechia,GEO,CZE,,,,,,,,,2024,2024-06-22,2024-06-22T13:00:00Z,2.0,Group F,MD2,,,,,,UPCOMING,GROUP_STAGE,GROUP_STANDINGS,GROUP,,53103,GER,51831.0,53.5871556,9.8985528,105.0,68.0,,,,,"[{'name': 'Mark Evans', 'role': 'UEFA_DELEGATE', 'name_short': 'Evans', 'gender': 'MALE', 'counrty_code': 'WAL', 'counrty': 'Wales'}]",Hamburg,Volksparkstadion,Volksparkstadion,Volksparkstadion,Volksparkstadion,Volksparkstadion
2036180,Netherlands,France,NED,FRA,,,,,,,,,2024,2024-06-21,2024-06-21T19:00:00Z,2.0,Group D,MD2,,,,,,UPCOMING,GROUP_STAGE,GROUP_STANDINGS,GROUP,,85442,GER,42146.0,51.3457333,12.3481806,105.0,68.0,,,,,"[{'name': 'Fedayi San', 'role': 'ASSISTANT_VIDEO_ASSISTANT_REFEREE_ONE', 'name_short': 'San', 'gender': 'MALE', 'counrty_code': 'SUI', 'counrty': 'Switzerland'}, {'name': 'Stuart Attwell', 'role': 'VIDEO_ASSISTANT_REFEREE', 'name_short': 'Attwell', 'gender': 'MALE', 'counrty_code': 'ENG', 'counrty': 'England'}, {'name': 'Glenn Nyberg', 'role': 'FOURTH_OFFICIAL', 'name_short': 'Nyberg', 'gender': 'MALE', 'counrty_code': 'SWE', 'counrty': 'Sweden'}, {'name': 'Gary Beswick', 'role': 'ASSISTANT_REFEREE_ONE', 'name_short': 'Beswick', 'gender': 'MALE', 'counrty_code': 'ENG', 'counrty': 'England'}, {'name': 'Anthony Taylor', 'role': 'REFEREE', 'name_short': 'Taylor', 'gender': 'MALE', 'counrty_code': 'ENG', 'counrty': 'England'}, {'name': 'Adam Nunn', 'role': 'ASSISTANT_REFEREE_TWO', 'name_short': 'Nunn', 'gender': 'MALE', 'counrty_code': 'ENG', 'counrty': 'England'}, {'name': 'Paul Lyon', 'role': 'UEFA_DELEGATE', 'name_short': 'Lyon', 'gender': 'MALE', 'counrty_code': 'GIB', 'counrty': 'Gibraltar'}, {'name': 'Marco Fritz', 'role': 'ASSISTANT_VIDEO_ASSISTANT_REFEREE_TWO', 'name_short': 'Fritz', 'gender': 'MALE', 'counrty_code': 'GER', 'counrty': 'Germany'}, {'name': 'Kyros Vassaras', 'role': 'REFEREE_OBSERVER', 'name_short': 'Vassaras', 'gender': 'MALE', 'counrty_code': 'GRE', 'counrty': 'Greece'}]",Leipzig,Leipzig Stadium,RB Arena,RB Arena,Leipzig Stadium,Red Bull Arena
2036179,Poland,Austria,POL,AUT,,,,,,,,,2024,2024-06-21,2024-06-21T16:00:00Z,2.0,Group D,MD2,,,,,,UPCOMING,GROUP_STAGE,GROUP_STANDINGS,GROUP,,62875,GER,74244.0,52.5147139,13.2393972,105.0,68.0,,,,,"[{'name': 'Emre Eyisoy', 'role': 'ASSISTANT_REFEREE_ONE', 'name_short': 'Eyisoy', 'gender': 'MALE', 'counrty_code': 'TUR', 'counrty': 'Türkiye'}, {'name': 'Lutz Michael Fröhlich', 'role': 'REFEREE_OBSERVER', 'name_short': 'Fröhlich', 'gender': 'MALE', 'counrty_code': 'GER', 'counrty': 'Germany'}, {'name': 'Alper Ulusoy', 'role': 'ASSISTANT_VIDEO_ASSISTANT_REFEREE_ONE', 'name_short': 'Ulusoy', 'gender': 'MALE', 'counrty_code': 'TUR', 'counrty': 'Türkiye'}, {'name': 'Umut Meler', 'role': 'REFEREE', 'name_short': 'Meler', 'gender': 'MALE', 'counrty_code': 'TUR', 'counrty': 'Türkiye'}, {'name': 'Filip Popovski', 'role': 'UEFA_DELEGATE', 'name_short': 'Popovski', 'gender': 'MALE', 'counrty_code': 'MKD', 'counrty': 'North Macedonia'}, {'name': 'Rade Obrenovic', 'role': 'FOURTH_OFFICIAL', 'name_short': 'Obrenovic', 'gender': 'MALE', 'counrty_code': 'SVN', 'counrty': 'Slovenia'}, {'name': 'Massimiliano Irrati', 'role': 'ASSISTANT_VIDEO_ASSISTANT_REFEREE_TWO', 'name_short': 'Irrati', 'gender': 'MALE', 'counrty_code': 'ITA', 'counrty': 'Italy'}, {'name': 'Paolo Valeri', 'role': 'VIDEO_ASSISTANT_REFEREE', 'name_short': 'Valeri', 'gender': 'MALE', 'counrty_code': 'ITA', 'counrty': 'Italy'}, {'name': 'Kerem Ersoy', 'role': 'ASSISTANT_REFEREE_TWO', 'name_short': 'Kerem Ersoy', 'gender': 'MALE', 'counrty_code': 'TUR', 'counrty': 'Türkiye'}]",Berlin,Olympiastadion,Olympiastadion,Olympiastadion,Olympiastadion,Olympiastadion
2036182,Slovakia,Ukraine,SVK,UKR,,,,,,,,,2024,2024-06-21,2024-06-21T13:00:00Z,2.0,Group E,MD2,,,,,,UPCOMING,GROUP_STAGE,GROUP_STANDINGS,GROUP,,1100174,GER,44559.0,51.260304,6.732731,105.0,68.0,,,,,"[{'name': 'Dan Cook', 'role': 'ASSISTANT_REFEREE_TWO', 'name_short': 'Cook', 'gender': 'MALE', 'counrty_code': 'ENG', 'counrty': 'England'}, {'name': 'David Coote', 'role': 'ASSISTANT_VIDEO_ASSISTANT_REFEREE_ONE', 'name_short': 'Coote', 'gender': 'MALE', 'counrty_code': 'ENG', 'counrty': 'England'}, {'name': 'Michael Oliver', 'role': 'REFEREE', 'name_short': 'Oliver', 'gender': 'MALE', 'counrty_code': 'ENG', 'counrty': 'England'}, {'name': 'Stuart Burt', 'role': 'ASSISTANT_REFEREE_ONE', 'name_short': 'Burt', 'gender': 'MALE', 'counrty_code': 'ENG', 'counrty': 'England'}, {'name': 'Bastian Dankert', 'role': 'VIDEO_ASSISTANT_REFEREE', 'name_short': 'Dankert', 'gender': 'MALE', 'counrty_code': 'GER', 'counrty': 'Germany'}, {'name': 'Christian Dingert', 'role': 'ASSISTANT_VIDEO_ASSISTANT_REFEREE_TWO', 'name_short': 'Dingert', 'gender': 'MALE', 'counrty_code': 'GER', 'counrty': 'Germany'}, {'name': 'Adrian Ixari', 'role': 'UEFA_DELEGATE', 'name_short': 'Ixari', 'gender': 'MALE', 'counrty_code': 'MDA', 'counrty': 'Moldova'}, {'name': 'Serdar Gözübüyük', 'role': 'FOURTH_OFFICIAL', 'name_short': 'Gözübüyük', 'gender': 'MALE', 'counrty_code': 'NED', 'counrty': 'Netherlands'}, {'name': 'Hugh Dallas', 'role': 'REFEREE_OBSERVER', 'name_short': 'Dallas', 'gender': 'MALE', 'counrty_code': '', 'counrty': ''}]",Dusseldorf,Düsseldorf Arena,Düsseldorf Arena,Düsseldorf Arena,Düsseldorf Arena,ESPRIT arena
2036175,Spain,Italy,ESP,ITA,,,,,,,,,2024,2024-06-20,2024-06-20T19:00:00Z,2.0,Group B,MD2,,,,,,UPCOMING,GROUP_STAGE,GROUP_STANDINGS,GROUP,,79089,GER,54740.0,51.5545417,7.0675694,105.0,68.0,,,,,"[{'name': 'Bartosz Frankowski', 'role': 'ASSISTANT_VIDEO_ASSISTANT_REFEREE_ONE', 'name_short': 'Frankowski', 'gender': 'MALE', 'counrty_code': 'POL', 'counrty': 'Poland'}, {'name': 'Andraž Kovačič', 'role': 'ASSISTANT_REFEREE_TWO', 'name_short': 'Kovačič', 'gender': 'MALE', 'counrty_code': 'SVN', 'counrty': 'Slovenia'}, {'name': 'Nejc Kajtazovic', 'role': 'VIDEO_ASSISTANT_REFEREE', 'name_short': 'Kajtazovic', 'gender': 'MALE', 'counrty_code': 'SVN', 'counrty': 'Slovenia'}, {'name': 'Tomaž Klančnik', 'role': 'ASSISTANT_REFEREE_ONE', 'name_short': 'Klančnik', 'gender': 'MALE', 'counrty_code': 'SVN', 'counrty': 'Slovenia'}, {'name': 'Clément Turpin', 'role': 'FOURTH_OFFICIAL', 'name_short': 'Turpin', 'gender': 'MALE', 'counrty_code': 'FRA', 'counrty': 'France'}, {'name': 'Iveta Bankova', 'role': 'UEFA_DELEGATE', 'name_short': 'Bankova', 'gender': 'FEMALE', 'counrty_code': 'BUL', 'counrty': 'Bulgaria'}, {'name': 'Slavko Vinčić', 'role': 'REFEREE', 'name_short': 'Vinčić', 'gender': 'MALE', 'counrty_code': 'SVN', 'counrty': 'Slovenia'}, {'name': 'Frank De Bleeckere', 'role': 'REFEREE_OBSERVER', 'name_short': 'De Bleeckere', 'gender': 'MALE', 'counrty_code': 'BEL', 'counrty': 'Belgium'}, {'name': 'Tomasz Kwiatkowski', 'role': 'ASSISTANT_VIDEO_ASSISTANT_REFEREE_TWO', 'name_short': 'Kwiatkowski', 'gender': 'MALE', 'counrty_code': 'POL', 'counrty': 'Poland'}]",Gelsenkirchen,Arena AufSchalke,Arena AufSchalke,Arena AufSchalke,Arena AufSchalke,Veltins Arena
2036178,Denmark,England,DEN,ENG,,,,,,,,,2024,2024-06-20,2024-06-20T16:00:00Z,2.0,Group C,MD2,,,,,,UPCOMING,GROUP_STAGE,GROUP_STANDINGS,GROUP,,85690,GER,49474.0,50.0685861,8.6454556,105.0,68.0,,,,,"[{'name': 'Mykola Balakin', 'role': 'FOURTH_OFFICIAL', 'name_short': 'Balakin', 'gender': 'MALE', 'counrty_code': 'UKR', 'counrty': 'Ukraine'}, {'name': 'Nicola Rizzoli', 'role': 'REFEREE_OBSERVER', 'name_short': 'Rizzoli', 'gender': 'MALE', 'counrty_code': 'ITA', 'counrty': 'Italy'}, {'name': 'Pedro Ribeiro', 'role': 'ASSISTANT_REFEREE_TWO', 'name_short': 'Pedro Ribeiro', 'gender': 'MALE', 'counrty_code': 'POR', 'counrty': 'Portugal'}, {'name': 'Artur Soares Dias', 'role': 'REFEREE', 'name_short': 'Soares Dias', 'gender': 'MALE', 'counrty_code': 'POR', 'counrty': 'Portugal'}, {'name': 'Alejandro Hernández', 'role': 'ASSISTANT_VIDEO_ASSISTANT_REFEREE_ONE', 'name_short': 'Hernández', 'gender': 'MALE', 'counrty_code': 'ESP', 'counrty': 'Spain'}, {'name': 'Tiago Martins', 'role': 'VIDEO_ASSISTANT_REFEREE', 'name_short': 'Martins', 'gender': 'MALE', 'counrty_code': 'POR', 'counrty': 'Portugal'}, {'name': 'Paulo Soares', 'role': 'ASSISTANT_REFEREE_ONE', 'name_short': 'Soares', 'gender': 'MALE', 'counrty_code': 'POR', 'counrty': 'Portugal'}, {'name': 'Konul Mehtiyeva', 'role': 'UEFA_DELEGATE', 'name_short': 'Mehtiyeva', 'gender': 'FEMALE', 'counrty_code': 'AZE', 'counrty': 'Azerbaijan'}, {'name': 'Juan Martínez Munuera', 'role': 'ASSISTANT_VIDEO_ASSISTANT_REFEREE_TWO', 'name_short': 'Martínez Munuera', 'gender': 'MALE', 'counrty_code': 'ESP', 'counrty': 'Spain'}]",Frankfurt am Main,Frankfurt Arena,Frankfurt Stadion,Frankfurt Stadion,Frankfurt Arena,Deutsche Bank Park
2036177,Slovenia,Serbia,SVN,SRB,,,,,,,,,2024,2024-06-20,2024-06-20T13:00:00Z,2.0,Group C,MD2,,,,,,UPCOMING,GROUP_STAGE,GROUP_STANDINGS,GROUP,,85441,GER,75000.0,48.2187944,11.6247306,105.0,68.0,,,,,"[{'name': 'Rob Dieperink', 'role': 'ASSISTANT_VIDEO_ASSISTANT_REFEREE_ONE', 'name_short': 'Dieperink', 'gender': 'MALE', 'counrty_code': 'NED', 'counrty': 'Netherlands'}, {'name': 'Ovidiu Artene', 'role': 'ASSISTANT_REFEREE_TWO', 'name_short': 'Artene', 'gender': 'MALE', 'counrty_code': 'ROU', 'counrty': 'Romania'}, {'name': 'Marco Fritz', 'role': 'ASSISTANT_VIDEO_ASSISTANT_REFEREE_TWO', 'name_short': 'Fritz', 'gender': 'MALE', 'counrty_code': 'GER', 'counrty': 'Germany'}, {'name': 'David Fernández Borbalán', 'role': 'REFEREE_OBSERVER', 'name_short': 'Fernández Borbalán', 'gender': 'MALE', 'counrty_code': 'ESP', 'counrty': 'Spain'}, {'name': 'István Kovács', 'role': 'REFEREE', 'name_short': 'Kovács', 'gender': 'MALE', 'counrty_code': 'ROU', 'counrty': 'Romania'}, {'name': 'Espen Eskås', 'role': 'FOURTH_OFFICIAL', 'name_short': 'Eskås', 'gender': 'MALE', 'counrty_code': 'NOR', 'counrty': 'Norway'}, {'name': 'Vasile Marinescu', 'role': 'ASSISTANT_REFEREE_ONE', 'name_short': 'Marinescu', 'gender': 'MALE', 'counrty_code': 'ROU', 'counrty': 'Romania'}, {'name': 'Pol van Boekel', 'role': 'VIDEO_ASSISTANT_REFEREE', 'name_short': 'van Boekel', 'gender': 'MALE', 'counrty_code': 'NED', 'counrty': 'Netherlands'}, {'name': 'Arturs Gaidels', 'role': 'UEFA_DELEGATE', 'name_short': 'Gaidels', 'gender': 'MALE', 'counrty_code': 'LVA', 'counrty': 'Latvia'}]",Munich,Munich Football Arena,Football Arena Munich,Fußball Arena München,Munich Football Arena,Allianz Arena
2036174,Scotland,Switzerland,SCO,SUI,,,,,,,,,2024,2024-06-19,2024-06-19T19:00:00Z,2.0,Group A,MD2,,,,,,UPCOMING,GROUP_STAGE,GROUP_STANDINGS,GROUP,,52864,GER,45134.0,50.9335056,6.8749944,105.0,68.0,,,,,"[{'name': 'Bartosz Frankowski', 'role': 'ASSISTANT_VIDEO_ASSISTANT_REFEREE_ONE', 'name_short': 'Frankowski', 'gender': 'MALE', 'counrty_code': 'POL', 'counrty': 'Poland'}, {'name': 'Irfan Peljto', 'role': 'FOURTH_OFFICIAL', 'name_short': 'Peljto', 'gender': 'MALE', 'counrty_code': 'BIH', 'counrty': 'Bosnia and Herzegovina'}, {'name': 'Jan Pozor', 'role': 'ASSISTANT_REFEREE_TWO', 'name_short': 'Pozor', 'gender': 'MALE', 'counrty_code': 'SVK', 'counrty': 'Slovakia'}, {'name': 'Nejc Kajtazovic', 'role': 'ASSISTANT_VIDEO_ASSISTANT_REFEREE_TWO', 'name_short': 'Kajtazovic', 'gender': 'MALE', 'counrty_code': 'SVN', 'counrty': 'Slovenia'}, {'name': 'Costas Kapitanis', 'role': 'REFEREE_OBSERVER', 'name_short': 'Kapitanis', 'gender': 'MALE', 'counrty_code': 'CYP', 'counrty': 'Cyprus'}, {'name': 'Branislav Hancko', 'role': 'ASSISTANT_REFEREE_ONE', 'name_short': 'Hancko', 'gender': 'MALE', 'counrty_code': 'SVK', 'counrty': 'Slovakia'}, {'name': 'Paolo Rondelli', 'role': 'UEFA_DELEGATE', 'name_short': 'Rondelli', 'gender': 'MALE', 'counrty_code': 'SMR', 'counrty': 'San Marino'}, {'name': 'Ivan Kružliak', 'role': 'REFEREE', 'name_short': 'Kružliak', 'gender': 'MALE', 'counrty_code': 'SVK', 'counrty': 'Slovakia'}, {'name': 'Tomasz Kwiatkowski', 'role': 'VIDEO_ASSISTANT_REFEREE', 'name_short': 'Kwiatkowski', 'gender': 'MALE', 'counrty_code': 'POL', 'counrty': 'Poland'}]",Cologne,Cologne Stadium,RheinEnergieStadion,Stadion Köln,Cologne Stadium,RheinEnergieStadion
2036173,Germany,Hungary,GER,HUN,0.0,0.0,,,0.0,0.0,,,2024,2024-06-19,2024-06-19T16:00:00Z,2.0,Group A,MD2,63.0,SOFT,24.0,PARTLY_CLOUDY,15.0,LIVE,GROUP_STAGE,GROUP_STANDINGS,GROUP,,53101,GER,54697.0,48.7922694,9.2320083,105.0,68.0,,,,,"[{'name': 'Serdar Gözübüyük', 'role': 'FOURTH_OFFICIAL', 'name_short': 'Gözübüyük', 'gender': 'MALE', 'counrty_code': 'NED', 'counrty': 'Netherlands'}, {'name': 'Stuart Attwell', 'role': 'ASSISTANT_VIDEO_ASSISTANT_REFEREE_TWO', 'name_short': 'Attwell', 'gender': 'MALE', 'counrty_code': 'ENG', 'counrty': 'England'}, {'name': 'Jan de Vries', 'role': 'ASSISTANT_REFEREE_TWO', 'name_short': 'De Vries', 'gender': 'MALE', 'counrty_code': 'NED', 'counrty': 'Netherlands'}, {'name': 'Rob Dieperink', 'role': 'VIDEO_ASSISTANT_REFEREE', 'name_short': 'Dieperink', 'gender': 'MALE', 'counrty_code': 'NED', 'counrty': 'Netherlands'}, {'name': 'Danny Makkelie', 'role': 'REFEREE', 'name_short': 'Makkelie', 'gender': 'MALE', 'counrty_code': 'NED', 'counrty': 'Netherlands'}, {'name': 'Per Svärd', 'role': 'UEFA_DELEGATE', 'name_short': 'Svärd', 'gender': 'MALE', 'counrty_code': 'SWE', 'counrty': 'Sweden'}, {'name': 'Hessel Steegstra', 'role': 'ASSISTANT_REFEREE_ONE', 'name_short': 'Steegstra', 'gender': 'MALE', 'counrty_code': 'NED', 'counrty': 'Netherlands'}, {'name': 'Pol van Boekel', 'role': 'ASSISTANT_VIDEO_ASSISTANT_REFEREE_ONE', 'name_short': 'van Boekel', 'gender': 'MALE', 'counrty_code': 'NED', 'counrty': 'Netherlands'}, {'name': 'Tomasz Mikulski', 'role': 'REFEREE_OBSERVER', 'name_short': 'Mikulski', 'gender': 'MALE', 'counrty_code': 'POL', 'counrty': 'Poland'}]",Stuttgart,Stuttgart Arena,Mercedes-Benz-Arena,Arena Stuttgart,Stuttgart Arena,Mercedes-Benz Arena
2036176,Croatia,Albania,CRO,ALB,2.0,2.0,,,2.0,2.0,,DRAW,2024,2024-06-19,2024-06-19T13:00:00Z,2.0,Group B,MD2,58.0,EXCELLENT,19.0,PARTLY_CLOUDY,20.0,FINISHED,GROUP_STAGE,GROUP_STANDINGS,GROUP,46784.0,53103,GER,51831.0,53.5871556,9.8985528,105.0,68.0,"[{'phase': 'FIRST_HALF', 'time': {'minute': 11, 'second': 15}, 'international_name': 'Qazim Laçi', 'club_shirt_name': 'Laci', 'country_code': 'ALB', 'national_field_position': 'MIDFIELDER', 'national_jersey_number': '14', 'goal_type': 'SCORED'}, {'phase': 'SECOND_HALF', 'time': {'minute': 74, 'second': 19}, 'international_name': 'Andrej Kramarić', 'club_shirt_name': 'Kramarić', 'country_code': 'CRO', 'national_field_position': 'FORWARD', 'national_jersey_number': '9', 'goal_type': 'SCORED'}, {'phase': 'SECOND_HALF', 'time': {'minute': 76, 'second': 48}, 'international_name': 'Klaus Gjasula', 'club_shirt_name': 'Gjasula', 'country_code': 'ALB', 'national_field_position': 'MIDFIELDER', 'national_jersey_number': '8', 'goal_type': 'OWN'}, {'phase': 'SECOND_HALF', 'time': {'injuryMinute': 5, 'minute': 90, 'second': 23}, 'international_name': 'Klaus Gjasula', 'club_shirt_name': 'Gjasula', 'country_code': 'ALB', 'national_field_position': 'MIDFIELDER', 'national_jersey_number': '8', 'goal_type': 'SCORED'}]",,,,"[{'name': 'Cyril Mugnier', 'role': 'ASSISTANT_REFEREE_ONE', 'name_short': 'Mugnier', 'gender': 'MALE', 'counrty_code': 'FRA', 'counrty': 'France'}, {'name': 'Jérôme Brisard', 'role': 'ASSISTANT_VIDEO_ASSISTANT_REFEREE_ONE', 'name_short': 'Brisard', 'gender': 'MALE', 'counrty_code': 'FRA', 'counrty': 'France'}, {'name': 'Mehdi Rahmouni', 'role': 'ASSISTANT_REFEREE_TWO', 'name_short': 'Rahmouni', 'gender': 'MALE', 'counrty_code': 'FRA', 'counrty': 'France'}, {'name': 'Bastian Dankert', 'role': 'ASSISTANT_VIDEO_ASSISTANT_REFEREE_TWO', 'name_short': 'Dankert', 'gender': 'MALE', 'counrty_code': 'GER', 'counrty': 'Germany'}, {'name': 'Mark Evans', 'role': 'UEFA_DELEGATE', 'name_short': 'Evans', 'gender': 'MALE', 'counrty_code': 'WAL', 'counrty': 'Wales'}, {'name': 'Willy Delajod', 'role': 'VIDEO_ASSISTANT_REFEREE', 'name_short': 'Delajod', 'gender': 'MALE', 'counrty_code': 'FRA', 'counrty': 'France'}, {'name': 'Darko Čeferin', 'role': 'REFEREE_OBSERVER', 'name_short': 'Čeferin', 'gender': 'MALE', 'counrty_code': 'SVN', 'counrty': 'Slovenia'}, {'name': 'Sandro Schärer', 'role': 'FOURTH_OFFICIAL', 'name_short': 'Schärer', 'gender': 'MALE', 'counrty_code': 'SUI', 'counrty': 'Switzerland'}, {'name': 'François Letexier', 'role': 'REFEREE', 'name_short': 'Letexier', 'gender': 'MALE', 'counrty_code': 'FRA', 'counrty': 'France'}]",Hamburg,Volksparkstadion,Volksparkstadion,Volksparkstadion,Volksparkstadion,Volksparkstadion
