year,totalParticipants,winner,runnerUp,score
1960,4,USSR,Yugoslavia,1-1
1964,4,Spain,USSR,2-1
1968,4,Italy,Yugoslavia,2-0
1972,4,West Germany,USSR,3-0
1976,4,Czechoslovakia,West Germany,2-2
1980,8,West Germany,Belgium,1-2
1984,8,France,Spain,2-0
1988,8,Netherlands,USSR,0-2
1992,8,Denmark,Germany,2-0
1996,16,Germany,Czechia,1-1
2000,16,France,Italy,1-1
2004,16,Greece,Portugal,0-1
2008,16,Spain,Germany,0-1
2012,16,Spain,Italy,4-0
2016,24,Portugal,France,0-0
2020,24,Italy,England,1-1
